id,date,price,area,rooms,half rooms,area_balcony,street,district,type
33034937,2022-07-28,170000,49,1,1,2.0,Siroki utca 4.,XI,szoba
33034930,2022-07-28,750000,101,4,0,0.0,Németvölgy,XII,tegla
33034855,2022-07-28,500000,81,2,0,0.0,Belváros,V,tegla
33034842,2022-07-28,180000,62,1,2,6.0,Kossuth Lajos utca,XX,tegla
33034817,2022-07-28,180000,50,2,0,0.0,Lepke utca,II,tegla
33034812,2022-07-28,75000,22,1,0,0.0,Columbus utca 32,XIV,tegla
33034705,2022-07-28,110000,28,1,0,0.0,Hegedűs Gyula utca,XIII,tegla
33034451,2022-07-28,170000,53,2,0,0.0,Hévízi út,III,panel
33034414,2022-07-28,245000,65,3,0,0.0,Ferenc körút,IX,tegla
33034384,2022-07-28,950000,140,3,2,70.0,Eötvös utca,VI,tegla
33034357,2022-07-28,280000,56,2,0,3.0,Törökőr,XIV,tegla
33034283,2022-07-28,230000,63,2,0,2.0,Péterfy Sándor utca,VII,tegla
33034278,2022-07-28,195000,42,1,0,0.0,Károly körút,VII,tegla
33034270,2022-07-28,130000,36,1,1,0.0,Reitter Ferenc utca 103,XIII,tegla
33034182,2022-07-28,160000,38,1,0,0.0,Rákóczi út 73,VIII,tegla
33034176,2022-07-28,400000,115,4,0,4.0,Rákoshegy,XVII,tegla
33034173,2022-07-28,250000,77,3,0,2.0,Alsórákoshegy,XVII,tegla
33034125,2022-07-28,160000,36,1,0,0.0,Hegedűs Gyula utca 21,XIII,tegla
